column3,column4,column5,column6,column7,column8,column9,column10,column11,column12, column13 ,column14
2020.05.04,911,GD 신규경상 소비,100630,"옥외용비닐절연전선,OW,150MM2,19EA,3.2MM",8510,0110,549320195877 ,(28),M,"-237,043 ",N1
2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320195877 ,(1),EA,"-20,952 ",N1
2020.05.04,911,GD 신규경상 소비,100686,"특고압인하용절연전선,PDC,5.0MM,1EA,5.0MM",8510,0110,549320203963 ,(9),M,"-22,877 ",N1
2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203963 ,(1),EA,"-23,579 ",N1
2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549320203963 ,(1),EA,"-6,943 ",N1
2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203963 ,(1),SET,"-32,461 ",N1
2020.05.04,911,GD 신규경상 소비,102000,"활선클램프,소형,분기고리측,경동선 6.5MM",8510,0110,549320203963 ,(3),EA,"-13,074 ",N1
2020.05.04,911,GD 신규경상 소비,106704,"내오손용결합애자,폴리머",8510,0110,549320203963 ,(3),EA,"-12,448 ",N1
2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,549320203963 ,(3),EA,"-204,191 ",N1
2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320203963 ,(1),EA,"-20,952 ",N1
2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203668 ,(3),EA,"-70,738 ",N1
2020.05.04,911,GD 신규경상 소비,101619,"인장클램프,WDA-2,ACSR 95MM2,쇄기형",8510,0110,549320203928 ,(3),EA,"-17,201 ",N1
2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549380203787 ,(2),EA,"-8,924 ",N1
2020.05.04,911,GD 신규경상 소비,100686,"특고압인하용절연전선,PDC,5.0MM,1EA,5.0MM",8510,0110,549320203901 ,(3),M,"-7,626 ",N1
2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203901 ,(11),EA,"-259,374 ",N1
2020.05.04,911,GD 신규경상 소비,101584,"인류클램프,GT-3,아연도강연선 22MM2",8510,0110,549320203901 ,(1),EA,"-2,910 ",N1
2020.05.04,911,GD 신규경상 소비,101875,"완철밴드,단완철용,1방2호,170MM,238MM",8510,0110,549320203901 ,(10),EA,"-67,637 ",N1
2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549320203901 ,(1),EA,"-6,943 ",N1
2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203901 ,(1),SET,"-32,461 ",N1
2020.05.04,911,GD 신규경상 소비,102000,"활선클램프,소형,분기고리측,경동선 6.5MM",8510,0110,549320203901 ,(1),EA,"-4,358 ",N1
2020.05.04,911,GD 신규경상 소비,106704,"내오손용결합애자,폴리머",8510,0110,549320203901 ,(2),EA,"-8,299 ",N1
2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,549320203901 ,(2),EA,"-136,127 ",N1
2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320203901 ,(11),EA,"-230,470 ",N1
2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203874 ,(4),EA,"-94,318 ",N1
