column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14
4964889446,2,2020.05.04,911,GD 신규경상 소비,100630,"옥외용비닐절연전선,OW,150MM2,19EA,3.2MM",8510,0110,549320195877 ,-28,M,-237043,N1
4964889446,1,2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320195877 ,-1,EA,-20952,N1
4964889447,4,2020.05.04,911,GD 신규경상 소비,100686,"특고압인하용절연전선,PDC,5.0MM,1EA,5.0MM",8510,0110,549320203963 ,-9,M,-22877,N1
4964889447,7,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203963 ,-1,EA,-23579,N1
4964889447,6,2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549320203963 ,-1,EA,-6943,N1
4964889447,5,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203963 ,-1,SET,-32461,N1
4964889447,8,2020.05.04,911,GD 신규경상 소비,102000,"활선클램프,소형,분기고리측,경동선 6.5MM",8510,0110,549320203963 ,-3,EA,-13074,N1
4964889447,3,2020.05.04,911,GD 신규경상 소비,106704,"내오손용결합애자,폴리머",8510,0110,549320203963 ,-3,EA,-12448,N1
4964889447,2,2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,549320203963 ,-3,EA,-204191,N1
4964889447,1,2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320203963 ,-1,EA,-20952,N1
4964889448,1,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203668 ,-3,EA,-70738,N1
4964889449,1,2020.05.04,911,GD 신규경상 소비,101619,"인장클램프,WDA-2,ACSR 95MM2,쇄기형",8510,0110,549320203928 ,-3,EA,-17201,N1
4964889450,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549380203787 ,-2,EA,-8924,N1
4964889451,4,2020.05.04,911,GD 신규경상 소비,100686,"특고압인하용절연전선,PDC,5.0MM,1EA,5.0MM",8510,0110,549320203901 ,-3,M,-7626,N1
4964889451,8,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203901 ,-11,EA,-259374,N1
4964889451,10,2020.05.04,911,GD 신규경상 소비,101584,"인류클램프,GT-3,아연도강연선 22MM2",8510,0110,549320203901 ,-1,EA,-2910,N1
4964889451,7,2020.05.04,911,GD 신규경상 소비,101875,"완철밴드,단완철용,1방2호,170MM,238MM",8510,0110,549320203901 ,-10,EA,-67637,N1
4964889451,6,2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549320203901 ,-1,EA,-6943,N1
4964889451,5,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203901 ,-1,SET,-32461,N1
4964889451,9,2020.05.04,911,GD 신규경상 소비,102000,"활선클램프,소형,분기고리측,경동선 6.5MM",8510,0110,549320203901 ,-1,EA,-4358,N1
4964889451,3,2020.05.04,911,GD 신규경상 소비,106704,"내오손용결합애자,폴리머",8510,0110,549320203901 ,-2,EA,-8299,N1
4964889451,2,2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,549320203901 ,-2,EA,-136127,N1
4964889451,1,2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320203901 ,-11,EA,-230470,N1
4964889452,2,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203874 ,-4,EA,-94318,N1
4964889452,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203874 ,-1,EA,-4462,N1
4964889453,4,2020.05.04,911,GD 신규경상 소비,100686,"특고압인하용절연전선,PDC,5.0MM,1EA,5.0MM",8510,0110,549380203901 ,-3,M,-7626,N1
4964889453,6,2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549380203901 ,-1,EA,-6943,N1
4964889453,5,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549380203901 ,-1,SET,-32461,N1
4964889453,7,2020.05.04,911,GD 신규경상 소비,102000,"활선클램프,소형,분기고리측,경동선 6.5MM",8510,0110,549380203901 ,-1,EA,-4358,N1
4964889453,3,2020.05.04,911,GD 신규경상 소비,106704,"내오손용결합애자,폴리머",8510,0110,549380203901 ,-1,EA,-4149,N1
4964889453,2,2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,549380203901 ,-1,EA,-68064,N1
4964889453,1,2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549380203901 ,-1,EA,-20952,N1
4964889454,1,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203819 ,-8,EA,-188636,N1
4964889455,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203892 ,-1,SET,-32461,N1
4964889456,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203879 ,-1,EA,-4462,N1
4964889457,2,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203971 ,-5,EA,-117897,N1
4964889457,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203971 ,-1,SET,-32461,N1
4964889458,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203908 ,-1,EA,-4462,N1
4964889459,2,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203903 ,-2,EA,-47159,N1
4964889459,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203903 ,-2,SET,-64921,N1
4964889460,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203872 ,-3,EA,-13387,N1
4964889461,3,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203902 ,-5,EA,-117897,N1
4964889461,2,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203902 ,-1,SET,-32461,N1
4964889461,1,2020.05.04,911,GD 신규경상 소비,121700,"환경친화형 전선퓨즈,DV/OW(3.2),220V,50A",8510,0110,549320203902 ,-1,EA,-3316,N1
4964889462,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203883 ,-4,EA,-17849,N1
4964889463,2,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203904 ,-1,EA,-23579,N1
4964889463,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203904 ,-1,SET,-32461,N1
4964889464,3,2020.05.04,911,GD 신규경상 소비,101100,"편출용D형랙크,내장형,800MM,1000MM",8510,0110,549320195687 ,-1,EA,-87202,N1
4964889464,2,2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,549320195687 ,-3,EA,-204191,N1
4964889464,1,2020.05.04,911,GD 신규경상 소비,126467,"고효율주상변압기,75KVA(광유),유탭,13.2KV",8510,0110,549320195687 ,-3,EA,-4304050,N1
4964889465,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203888 ,-1,EA,-4462,N1
4964889466,1,2020.05.04,911,GD 신규경상 소비,100630,"옥외용비닐절연전선,OW,150MM2,19EA,3.2MM",8510,0110,549320203918 ,-7,M,-59261,N1
4964889466,3,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203918 ,-2,EA,-47159,N1
4964889466,2,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203918 ,-1,SET,-32461,N1
4964889467,1,2020.05.04,911,GD 신규경상 소비,101619,"인장클램프,WDA-2,ACSR 95MM2,쇄기형",8510,0110,549320193486 ,-16,EA,-91739,N1
4964889468,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203856 ,-1,EA,-4462,N1
4964889469,2,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203893 ,-1,EA,-23579,N1
4964889469,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203893 ,-1,SET,-32461,N1
